country,1960,1961,1962,1963,1964,1965,1966,1967,1968,1969,1970,1971,1972,1973,1974,1975,1976,1977,1978,1979,1980,1981,1982,1983,1984,1985,1986,1987,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018,2019
Croatia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2970,2610,2230,2220,2200,2310,2410,2610,2630,2780,2830,2990,3190,3260,3430,3580,3740,3850,3990,3820,3920,3900,3830,3770,3750,,,,,
Haiti,,,,,,,,,,,,12.5,17.2,20.2,23,29.6,26.9,30.6,34.6,36.1,41.5,48.6,49.2,50.4,50.9,52.2,55.6,54.3,55.8,58.2,60.4,46.2,41.3,29.3,19.1,30.9,34.6,43,37.7,40,36.5,35.8,31.1,29.2,28.7,37.9,38.2,25.8,24,36.3,24.9,31.9,47,44.6,39.7,,,,,
Hungary,,,,,,1140,1220,1310,1380,1470,1590,1710,1830,1960,2070,2150,2280,2420,2610,2640,2700,2740,2830,2950,3100,3190,3270,3420,3430,3480,3430,3220,3120,3000,3030,3070,3160,3190,3220,3320,3310,3430,3550,3640,3680,3770,3880,3980,3990,3770,3880,3900,3920,3890,3970,,,,,
Indonesia,,,,,,,,,,,,14.2,15.8,15.7,19,21.3,18.2,21.5,31.5,38.3,45.7,51.7,60.8,65.4,70.7,78.9,91.1,103,118,136,161,176,192,210,237,260,292,325,325,350,382,403,409,420,465,491,506,535,559,583,624,668,721,762,800,910,956,1020,1060,1080
India,,,,,,,,,,,,99.5,102,103,106,117,126,129,138,138,144,154,161,168,186,196,211,223,243,260,275,293,307,322,343,360,361,376,386,392,393,393,409,428,449,465,506,538,558,595,636,691,716,755,794,,,,,
Ireland,695,752,838,886,1040,1130,1240,1340,1500,1610,1750,1880,2020,2140,2250,2180,2380,2540,2690,2940,2870,2830,2790,2850,2960,3110,3270,3410,3430,3600,3770,3900,4100,4190,4350,4530,4790,4980,5200,5430,5800,5900,6040,6090,6170,6240,6350,6220,6340,5950,5930,5660,5650,5700,5670,,,,,
Iran,,,,,,,,,,,,267,307,372,408,444,475,498,496,539,522,534,580,647,682,716,726,775,773,832,908,956,1020,1080,1140,1170,1270,1320,1370,1450,1530,1620,1730,1870,1970,2020,2140,2210,2310,2390,2530,2550,2650,2690,2870,,,,,
Iraq,,,,,,,,,,,,264,264,310,328,370,417,490,584,731,796,736,901,1040,1210,1270,1320,1290,1320,1300,1300,1100,1320,1310,1330,1370,1330,1310,1270,1230,1190,1190,1210,995,1150,793,942,769,754,832,1190,1260,1080,1340,1250,,,,,
Iceland,2610,2870,2900,2980,3070,2970,2910,2920,2990,3800,6470,7000,7650,9900,9960,9590,10k,10.6k,11k,11.8k,12.7k,12.9k,14k,14.6k,15.2k,14.8k,15.4k,15.3k,16.4k,16.4k,16.1k,15.9k,16.1k,16.7k,17.1k,17.4k,17.4k,19k,21.3k,24.5k,26.2k,27k,27.9k,27.7k,28.2k,28k,31.3k,36.9k,50.1k,51.3k,51.4k,52.4k,53.2k,54.8k,53.8k,,,,,
Israel,,,,,,,,,,,,2290,2500,2500,2520,2620,2720,2830,3010,3050,3020,3070,3170,3310,3360,3490,3410,3760,4030,4230,4180,3980,4570,4620,4930,5130,5340,5490,5820,5970,6320,6400,6500,6600,6530,6570,6710,7000,7130,6610,6950,6930,7180,6710,6600,,,,,
Italy,975,1050,1140,1270,1350,1450,1570,1690,1820,1930,2070,2150,2300,2460,2540,2480,2710,2780,2890,3040,3100,3100,3130,3130,3300,3390,3490,3660,3830,4010,4140,4220,4310,4300,4440,4600,4660,4790,4960,5080,5300,5410,5540,5650,5690,5730,5830,5800,5760,5370,5490,5510,5400,5160,5000,,,,,
Jamaica,,,,,,,,,,,,815,969,1000,1050,699,740,760,760,689,666,653,780,754,605,592,619,655,625,590,882,725,1470,1550,1720,2080,2130,2190,2270,2300,2320,2320,2390,2460,2430,2440,2420,1970,1180,1250,1240,1230,1060,1040,1080,,,,,
Jordan,,,,,,,,,,,,144,169,190,206,233,276,240,275,348,389,446,525,656,739,777,805,877,871,875,919,865,962,987,1020,1070,1110,1110,1170,1190,1230,1260,1330,1360,1470,1510,1570,1640,1730,1750,1840,1890,2040,1980,1890,,,,,
Japan,1100,1260,1330,1520,1690,1790,2000,2270,2510,2890,3250,3420,3740,4070,3970,4040,4310,4440,4670,4860,4720,4750,4700,4960,5180,5320,5330,5640,5910,6240,6810,7010,7020,7080,7510,7690,7840,7990,8000,8150,8300,8160,8270,8160,8390,8540,8540,8710,8270,8020,8590,8100,8000,7990,7820,,,,,
Kazakhstan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5630,5370,5080,4290,4100,3820,3450,3030,2840,2740,3040,3350,3380,3570,3660,3810,4050,4270,4470,4310,4580,4750,5030,5190,5430,,,,,
Kenya,,,,,,,,,,,,77.1,81.6,84.4,87,90.3,96.8,98.8,102,106,107,111,109,109,111,116,119,128,122,124,128,129,130,132,130,131,134,131,132,122,109,118,117,122,129,131,139,142,141,142,149,150,152,163,167,,,,,
Kyrgyz Republic,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2330,2320,2330,1910,1900,2070,1970,1800,1680,1800,1700,1450,1370,1640,1420,1370,1380,1460,1380,1320,1370,1640,1790,1870,1920,,,,,
Cambodia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,14.4,20.4,23.7,25.6,29.3,31.9,35.8,49.5,50.7,55,65.9,79.8,99.4,113,126,142,163,205,219,269,,,,,
South Korea,,,,,,,,,,,,296,344,397,459,502,578,659,780,881,914,972,1030,1140,1250,1340,1480,1670,1920,2100,2370,2590,2830,3090,3500,3880,4280,4650,4440,4880,5910,6310,6670,6980,7390,7800,8040,8460,8770,8880,9720,10.1k,10.3k,10.4k,10.5k,,,,,
Kosovo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1840,1820,1780,1970,2030,2110,2300,2570,2510,2630,2950,2860,2920,2820,,,,,
Kuwait,,,,,,,,,,,,2790,3280,3440,3610,3860,4040,4380,4790,5570,5520,5820,6470,6590,7020,7490,7940,8160,8510,8840,10.2k,7470,9710,11.4k,12.6k,12.6k,13.1k,13.3k,14.5k,14.8k,14.7k,15.2k,15.7k,16.8k,17k,17.3k,17.8k,17.1k,17.1k,16.7k,17k,16.1k,16.1k,15.3k,15.7k,,,,,
Lebanon,,,,,,,,,,,,506,554,627,674,618,660,701,749,827,862,911,981,1060,1090,1090,1150,1230,1040,638,389,763,900,1040,1130,1200,1610,1890,2260,2220,2230,2250,2380,2420,2390,2400,2300,2360,2480,2630,2990,3010,2630,2850,2550,,,,,
Libya,,,,,,,,,,,,185,200,389,445,555,656,771,865,1010,1050,1000,986,1000,1000,992,1040,1420,1530,1490,1570,1660,1760,1820,1830,1790,1810,1820,2120,2200,2240,2270,2780,2950,3090,3390,3730,3710,3070,3030,3210,2800,2280,2330,1790,,,,,
Sri Lanka,,,,,,,,,,,,58.6,65.2,67.5,68,72,73.7,75.7,82.3,90.4,96,102,111,118,122,133,143,144,148,146,160,168,176,192,209,224,210,233,249,259,287,281,292,314,342,387,390,407,413,412,446,488,506,526,531,,,,,
Lithuania,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,4020,3170,2490,2500,2540,2740,2730,2830,2700,2520,2700,2850,3090,3200,3190,3350,3560,3730,3620,3470,3530,3610,3660,3820,,,,,
Luxembourg,4550,4630,5090,7020,8690,9110,9540,9500,9210,10.3k,10.6k,11.9k,11.7k,11.8k,13.1k,10.6k,11.5k,10.4k,10.8k,11k,10.8k,11.1k,11k,11.1k,11.7k,12.1k,12.2k,12.3k,13.4k,13.5k,13.7k,14.1k,12.9k,12.6k,13.7k,14.9k,14.6k,15.1k,15.5k,15k,15.7k,15.6k,16k,16.3k,16.3k,15.6k,16.5k,16.4k,15.9k,14.4k,16.8k,15.6k,14.7k,14.2k,13.9k,,,,,
Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3400,3290,2640,2050,1970,2000,1990,2060,2130,2070,2080,2210,2310,2490,2610,2780,2970,3170,3210,3030,3230,3260,3590,3470,3510,,,,,
Morocco,,,,,,,,,,,,132,146,159,164,169,185,199,213,229,243,255,268,286,288,300,312,317,347,341,366,378,410,411,431,441,443,460,488,460,496,531,541,586,616,637,689,717,732,743,773,823,874,880,904,,,,,
Moldova,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4020,4270,3690,3210,2760,2610,2460,2320,2310,2170,2040,2250,2330,2620,2440,2550,2700,2480,2520,2170,2140,1830,1880,1680,1730,,,,,
Mexico,,,,,,,,,,,,514,558,589,634,663,702,744,801,847,893,934,990,1010,1050,1090,1110,1160,1190,1250,1200,1310,1330,1330,1420,1430,1460,1540,1650,1700,1810,1840,1850,2000,1930,2000,2030,2050,2050,2000,2030,2230,2260,2150,2170,,,,,
North Macedonia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2580,2630,2900,2580,2690,2780,2890,3000,3080,2870,2910,2810,2790,3160,3210,3470,3570,3770,3850,3610,3800,4150,3960,3830,3790,,,,,
Malta,,,,,,,,,,,,1010,1070,1210,1010,1110,1250,1360,1480,1600,1660,1750,1830,1860,1920,2110,2250,2490,2690,2850,2820,3600,3730,3720,3740,3920,3790,3830,3920,4200,4310,4290,4500,4870,4800,4910,4900,4870,4840,4430,4770,4870,5000,4920,4920,,,,,
Myanmar,,,,,,,,,,,,19.9,21.3,22.9,22.7,25.6,27.9,30.4,31.9,33.7,35,31.5,33.4,33.9,36.6,43.6,43.6,43.8,38.9,41.8,45.8,42.4,45.8,52.4,55.7,58.9,59.4,66.4,66.9,70.2,77.6,70.5,75.4,82.5,83.1,77.2,91.1,92.2,97.1,103,128,159,161,191,222,,,,,
Montenegro,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6310,6450,6560,6290,5010,5420,5740,5420,4570,4610,,,,,
Mongolia,,,,,,,,,,,,,,,,,,,,,,,,,,1470,1560,1570,1610,1620,1550,1370,1270,1150,1120,1130,1110,1080,1080,1050,1060,1070,1090,1130,1190,1250,1290,1330,1420,1370,1480,1490,1580,1880,1990,,,,,
Mozambique,,,,,,,,,,,,56.3,55.1,62.4,73.4,59.7,65.6,60.3,63.3,38.1,38.1,37.8,50,39,30.3,32,37.2,42.2,34.5,39.4,41.8,55.6,54.9,51.8,44,44.8,44.4,52.7,47.6,67.3,123,273,263,373,450,455,465,468,453,454,464,465,470,460,488,,,,,
Mauritius,,,,,,,,,,,,147,161,180,202,212,249,280,280,310,299,296,294,301,301,314,347,388,436,482,671,729,780,820,857,945,1020,1110,1210,1230,1360,1450,1470,1560,1610,1680,1740,1820,1880,1910,2000,2030,2080,2150,2180,,,,,
Malaysia,,,,,,,,,,,,332,368,398,424,456,495,564,597,659,700,727,762,797,840,862,900,938,1010,1090,1170,1280,1430,1550,1800,2020,2210,2490,2550,2670,2770,2780,2830,2920,2980,2860,3040,3240,3250,3890,4080,4030,4250,4410,4530,,,,,
Namibia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1090,1040,1110,977,969,1050,996,1090,1150,1040,1070,1100,1150,1430,1500,1590,1600,1640,1590,1590,1620,1660,1680,1620,,,,,
